Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made,Subject
Alexander Cree,Unknown,1949,1940s,"Full length portrait of standing nude male, looking down with arms partially obscuring chest and face as they are raised holding a long cane.",graphite (mineral)/inorganic material/materials (substances),14cm (W) x 39.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3469,https://collections.ed.ac.uk/art/record/50543?highlight=*:*,NA,NA,NA
Alexander Cree,Unknown,NA,1950s,"Seated female figure on left playing violin, central female figure playing piano, and on right a bald male figure conducts.",oil paint (paint)/paint (coating),10cm (W) x 12.2cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3475,https://collections.ed.ac.uk/art/record/50549?highlight=*:*,NA,NA,NA
Alexander Cree,Unknown,NA,1950s,"Seated female figure on left playing violin, central female figure playing piano, and on right a bald male figure conducts.",oil paint (paint)/paint (coating),10cm (W) x 12.2cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3473,https://collections.ed.ac.uk/art/record/50547?highlight=*:*,NA,NA,NA
Alexander Cree,Portrait - Male,NA,20th century; 1940s; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3253,https://collections.ed.ac.uk/art/record/22697?highlight=*:*,NA,NA,NA
Alexander Cree,Unknown,1950,1950s,Full length portrait of seated nude female figure looking down to her right. Right arm across lap and left arm on armrest.,graphite (mineral)/inorganic material/materials (substances),29cm (W) x 46cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3467,https://collections.ed.ac.uk/art/record/50541?highlight=*:*,NA,NA,NA
Alexander Cree,"Vale of Health, Hampstead Heath",1950,1950s,Park with two trees in foreground with street and houses on either side in background,watercolour (paint)/paint (coating),38cm (W) x 28cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3471,https://collections.ed.ac.uk/art/record/50545?highlight=*:*,NA,NA,NA
Alexander Cree,Unknown,NA,1950s,Street scene outside cinema,oil paint (paint)/paint (coating),25.5cm (W) x 16cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3476,https://collections.ed.ac.uk/art/record/50550?highlight=*:*,NA,NA,NA
Alexander Cree,Unknown,NA,1950s,"Seated female figure on left playing violin, central female figure playing piano, and on right a bald male figure conducts.",oil paint (paint)/paint (coating),10cm (W) x 12.2cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3474,https://collections.ed.ac.uk/art/record/50548?highlight=*:*,NA,NA,NA
Alexander Cree,Male Model with Towel,1950,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3216,https://collections.ed.ac.uk/art/record/22661?highlight=*:*,NA,NA,NA
Alexander Curtis,Agricultural Tools,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art,drawings (visual works),NA,EU2379,https://collections.ed.ac.uk/art/record/21505?highlight=*:*,NA,NA,NA
Alexander F Mitchell,Sleeping Female Nude,1950,20th century; 1950s,Gained his MA in 1950 and PG in 1951 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1930,https://collections.ed.ac.uk/art/record/21057?highlight=*:*,NA,NA,NA
Alexander F Mitchell,Portrait of a Seated Woman,1950,20th century; 1950s,Gained his MA in 1950 and PG in 1951 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1926,https://collections.ed.ac.uk/art/record/21053?highlight=*:*,NA,NA,NA
Alexander F Mitchell,Striding Male Nude,1950,20th century; 1950s,Gained his MA in 1950 and PG in 1951 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1927,https://collections.ed.ac.uk/art/record/21054?highlight=*:*,NA,NA,NA
Alexander F Mitchell,Portrait of a Woman,1950,20th century; 1950s,Gained his MA in 1950 and PG in 1951 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1928,https://collections.ed.ac.uk/art/record/21055?highlight=*:*,NA,NA,NA
Alexander F Mitchell,Portrait of a Young Man,1950,20th century; 1950s,Gained his MA in 1950 and PG in 1951 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1929,https://collections.ed.ac.uk/art/record/21056?highlight=*:*,NA,NA,NA
Alexander Moffat (Scottish b.1943),Seated Female Nude,Circa 1964,20th century; 1950s; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2211,https://collections.ed.ac.uk/art/record/21337?highlight=*:*,NA,NA,NA
Alexander Moffat (Scottish b.1943),Picnic at the New Bridge,1963,NA,NA,oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),211 x 241,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2932,https://collections.ed.ac.uk/art/record/22473?highlight=*:*,NA,NA,NA
Alexander Moffat (Scottish b.1943),Still Life with Garden Fork,1964,NA,Garden fork sitting on orange surface.,oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3043,https://collections.ed.ac.uk/art/record/93355?highlight=*:*,NA,NA,NA
Alexander S Campbell,Portrait of a Man,1955,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2190,https://collections.ed.ac.uk/art/record/21316?highlight=*:*,NA,NA,NA
Alexander S Campbell,Unknown,NA,1950s; 20th century,"Study of seated male torso and thighs, viewed from right side of the body.",graphite (mineral)/inorganic material/materials (substances),33cm (W) x 40cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3558,https://collections.ed.ac.uk/art/record/50632?highlight=*:*,NA,NA,NA
Alexander S Campbell,Bull Fight,1956,20th century; 1950s,Painted while on a travelling scholarship.,watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,watercolours (paintings),NA,EU2291,https://collections.ed.ac.uk/art/record/21417?highlight=*:*,NA,NA,NA
Alexander S Campbell,Man in Spanish Costume,1955,20th century; 1950s,NA,watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,watercolours (paintings),NA,EU2191,https://collections.ed.ac.uk/art/record/21317?highlight=*:*,NA,NA,NA
Alexander Wilson,Unknown,1963,1960s; 20th century,Full length portrait of stylised figure holding a large guitar. Left hand on fretboard and right arm resting on top of guitar. Figure is looking toward the left of the composition.,watercolour (paint)/paint (coating); Conté/Drawing,25cm (W) x 33.3cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3683,https://collections.ed.ac.uk/art/record/53592?highlight=*:*,NA,NA,NA
Alexandra Bennett,Portrait of a Woman Wearing a Hat,1951,20th century; 1950s,Part of her Diploma examination at ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2105,https://collections.ed.ac.uk/art/record/21232?highlight=*:*,NA,NA,NA
Alfons B. Jasinski,Untitled - Figure Drawing of A Man with Crossed Arms,1968,20th century; 1960s,"Figure drawing of a man with a cleft chin and a receding hairline, wearing a suit and sitting with his knees up and arms crossed over his chest.",graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; pencil drawings; drawings (visual works); life drawings; drawings 1901-2000,NA,EU4034,https://collections.ed.ac.uk/art/record/99273?highlight=*:*,NA,NA,NA
Alfons Bytautas (b.1955),Winter Fence,1977,20th century; 1970s,Wooden fence in a field with barbed wire wrapped around it,NA,59.9cm H x 57.2cm W,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2423,https://collections.ed.ac.uk/art/record/21549?highlight=*:*,NA,NA,NA
Alfred Hackney (b.1926),Man and Basket,1950,20th century; 1950s,Registered at ECA in 1948.,Print,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1903,https://collections.ed.ac.uk/art/record/21030?highlight=*:*,NA,NA,NA
Alfred Hackney (b.1926),Man and Cauldron,1950,20th century; 1950s,Registered at ECA in 1948.,Print,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1902,https://collections.ed.ac.uk/art/record/21029?highlight=*:*,NA,NA,NA
Alfred Hackney (b.1926),Copper Engraving,1949,20th century; 1940s,Copper engraving of two men moving barrels,paper (fibre product); ink/coating (material)/materials (substances),16cm H x 17cm W,Art Collection; Edinburgh College of Art,NA,Alfred Hackney signature,EU2702,https://collections.ed.ac.uk/art/record/21826?highlight=*:*,NA,NA,NA
Alice Carter,Untitled,1982,20th century; 1980s,Landscape,NA,57.5cm H x55.4cm W,Art Collection; Edinburgh College of Art,prints (visual works); engravings (prints),Alice carter signature,EU2454,https://collections.ed.ac.uk/art/record/21579?highlight=*:*,NA,NA,NA
Alice Crombie,Untitled,Unknown,NA,Portrait of a male nude from three angles. Submitted as part of Crombie's first year portfolio.,NA,68.4cm H x 68.4 cm W (with mount) 61.2cm H x 64.2cm W (without mount),Art Collection; Edinburgh College of Art,drawings (visual works),Alice Crombie signature. 'Alice Crombie group 2' on reverse,EU2587,https://collections.ed.ac.uk/art/record/21712?highlight=*:*,NA,NA,NA
Alice Henderson,Portrait of a Woman,NA,NA,NA,chalk,NA,Art Collection; Edinburgh College of Art,chalk drawings,NA,EU2402,https://collections.ed.ac.uk/art/record/21528?highlight=*:*,NA,NA,NA
Alice Howell (née Bold),Unknown,1964,1960s; 20th century,Portrait of male head in profile wearing collared shirt. Figure is looking toward left of composition. Short hair with fringe combed over to right of face.,graphite (mineral)/inorganic material/materials (substances),18cm (W) x 23cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3670,https://collections.ed.ac.uk/art/record/53579?highlight=*:*,NA,NA,NA
Aline McLeod,Tombstone 1693,1989-1990,20th century; 1980s; 1990s,NA,chalk,NA,Art Collection; Edinburgh College of Art,chalk drawings,NA,EU2344,https://collections.ed.ac.uk/art/record/21470?highlight=*:*,NA,NA,NA
Alison Duncan,Untitled,Dec 1972,20th century; 1970s,Abstract design with leopard,NA,82.1cm H x 58cm W,Art Collection; Edinburgh College of Art,prints (visual works),Alison Duncan signature on reverse of print.,EU2456,https://collections.ed.ac.uk/art/record/21581?highlight=*:*,NA,NA,NA
Alison E. H. Stuart,Head of a Young Man,1950,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3245,https://collections.ed.ac.uk/art/record/22689?highlight=*:*,NA,NA,NA
Alison E. H. Stuart,Unknown,1949,1940s,Nude male figure with left arm behind back depicted from behind. Study of side of leg on the right.,graphite (mineral)/inorganic material/materials (substances),24.5cm (W) x 38.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3408,https://collections.ed.ac.uk/art/record/50482?highlight=*:*,NA,NA,NA
Alison Hutton,Landscape,1968,20th century; 1960s,NA,pastels (crayons)/crayons (drawing material); graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings; pastel,NA,EU2145,https://collections.ed.ac.uk/art/record/21272?highlight=*:*,NA,NA,NA
Alison Hutton,Untitled - View From a Bath,1968,20th century; 1960s,"Watercolour gouache painting with details acceptuated in graphite of person's view while laying in a bath tub, their feet reaching towards the taps with the water tank and flowers above.",gouache (paint)/watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,fine art; pencil drawings; paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,"The bottom left of the frame has been stamped with - College of Art, Lauriston Place, Edinburgh 8",EU4033,https://collections.ed.ac.uk/art/record/99272?highlight=*:*,NA,NA,NA
Alison Keith,Untitled,1963,20th century; 1960s,"Small drawing of a boy sitting at a table, concentrating on writing/drawing",pastels (crayons)/crayons (drawing material),31.5cm H x 18.6cm W,Art Collection; Edinburgh College of Art,pastel,"Bottom R corner of drawing ""Alison Keith D/P 1963"" artist, course and date. But underneath the above signature there has been a name that has been scribbled out - reads something like ""Jean Wrrocco 1963"" but is difficult to read",EU2890,https://collections.ed.ac.uk/art/record/22007?highlight=*:*,NA,NA,NA
Alison Williams,Untitled,Unknown,NA,Multiple plate etching,NA,59cm H x88.5cm W,Art Collection; Edinburgh College of Art,NA,Alison Williams signature,EU2821,https://collections.ed.ac.uk/art/record/21944?highlight=*:*,NA,NA,NA
Alistair Banks,Orange Abstract,1987,20th century; 1980s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3280,https://collections.ed.ac.uk/art/record/22724?highlight=*:*,NA,NA,NA
Alistair Bell,Untitled - Portrait of a Man,1968,20th century; 1960s,Figure drawing in graphite with coloured ink washed on blue grey paper of a three quarters profile of a man with a mustache,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; pen and wash drawings; pencil drawings; ink; life drawings,NA,EU4142,https://collections.ed.ac.uk/art/record/99378?highlight=*:*,NA,NA,NA
Alistair Bell,Untitled - Portrait of a Woman in Red,1967,20th century; 1960s,Figure drawing in charcoal and oil pastel of a sitting girl wearing a red dress with orange tights and with long blonde hair.,Oil pastel,NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; charcoal drawings; pastel; life drawings,there are sketches in graphite of lips on the bottom right of drawing.,EU4143,https://collections.ed.ac.uk/art/record/99379?highlight=*:*,NA,NA,NA
Alistair F. Flattely,Still Life with Fish,1949,20th century; 1940s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3256,https://collections.ed.ac.uk/art/record/22700?highlight=*:*,NA,NA,NA
Alistair Fairweather,Unknown,NA,1950s,Nude female figure looking to her right. Hand on hip and other leaning on unseen object,graphite (mineral)/inorganic material/materials (substances),38cm (W) x 56cm (H),Art Collection; Edinburgh College of Art,pencil drawings,NA,EU3350,https://collections.ed.ac.uk/art/record/50424?highlight=*:*,NA,NA,NA
